iter	Quantile:alpha=0.9
0	94397.11459
1	89926.52377
2	85842.72474
3	81965.91263
4	78395.69359
5	75161.45919
6	72028.24531
7	69142.69378
8	66409.13101
9	63760.81988
10	61371.0473
11	59061.97476
12	56964.66059
13	55057.40279
14	53267.39884
15	51590.47999
16	49953.15052
17	48332.72963
18	46822.8977
19	45495.77666
20	44183.90578
21	43022.38043
22	41840.38869
23	40782.44746
24	39810.28999
25	38896.02855
26	37966.66904
27	37125.91022
28	36285.33915
29	35436.72666
30	34726.77632
31	34036.28894
32	33409.04351
33	32783.62481
34	32107.59259
35	31552.92962
36	30933.94638
37	30424.85635
38	29928.32305
39	29420.73167
40	28935.51808
41	28471.78342
42	28033.81292
43	27637.24337
44	27223.68006
45	26840.15257
46	26488.61679
47	26136.76695
48	25796.23078
49	25487.95725
50	25183.46437
51	24936.57704
52	24653.29489
53	24385.10094
54	24138.9123
55	23893.57116
56	23653.40409
57	23441.38479
58	23246.62822
59	23047.67815
60	22872.74713
61	22671.4048
62	22476.79113
63	22314.88587
64	22166.16258
65	21983.37765
66	21820.12241
67	21674.34237
68	21551.92276
69	21410.54816
70	21287.19608
71	21159.62234
72	21053.98621
73	20954.86723
74	20862.22133
75	20761.65767
76	20659.9111
77	20551.21544
78	20465.91199
79	20376.63313
80	20284.46589
81	20185.61351
82	20109.23888
83	20031.25844
84	19946.43081
85	19882.70004
86	19803.19147
87	19723.63913
88	19656.05749
89	19605.87097
90	19527.62695
91	19471.68354
92	19412.17024
93	19353.88624
94	19295.36208
95	19231.6897
96	19174.73334
97	19126.85959
98	19074.6736
99	19033.63917
100	18981.91231
101	18936.37359
102	18904.7907
103	18861.08041
104	18815.02058
105	18766.06932
106	18720.9205
107	18685.44852
108	18638.08885
109	18591.65224
110	18552.22257
111	18519.82647
112	18490.3335
113	18460.00113
114	18426.00691
115	18389.13422
116	18356.29356
117	18330.83445
118	18308.35619
119	18283.88283
120	18258.49856
121	18236.22392
122	18205.16265
123	18176.54048
124	18147.5816
125	18120.70963
126	18085.84045
127	18056.9464
128	18031.48202
129	18014.33758
130	17986.89331
131	17954.25441
132	17926.39274
133	17910.04714
134	17884.82294
135	17856.4024
136	17840.53926
137	17823.73838
138	17797.27282
139	17773.3108
140	17747.97492
141	17727.19996
142	17701.24144
143	17682.81368
144	17665.14252
145	17630.70716
146	17605.56669
147	17584.93969
148	17560.66834
149	17548.30567
150	17536.66229
151	17518.50481
152	17498.49859
153	17484.33429
154	17466.74118
155	17445.50922
156	17423.87984
157	17404.42916
158	17388.25934
159	17355.5099
160	17341.44318
161	17322.18372
162	17302.30915
163	17287.21543
164	17267.48042
165	17254.81047
166	17234.995
167	17216.0282
168	17191.94941
169	17179.82227
170	17163.07551
171	17149.60175
172	17128.63414
173	17117.08275
174	17103.64417
175	17093.2582
176	17077.58387
177	17054.73313
178	17027.5456
179	17016.59801
180	17001.28892
181	16989.0684
182	16979.66469
183	16960.76293
184	16945.64027
185	16933.10112
186	16916.9877
187	16895.28479
188	16876.66353
189	16865.58978
190	16859.37616
191	16844.03383
192	16831.71083
193	16809.52904
194	16796.64132
195	16776.59467
196	16762.16733
197	16753.50928
198	16740.74518
199	16726.7669
200	16712.60403
201	16699.42781
202	16679.63397
203	16671.50619
204	16653.70281
205	16645.36892
206	16636.42178
207	16622.34801
208	16611.76661
209	16601.26035
210	16579.56556
211	16566.13041
212	16557.63911
213	16548.81212
214	16532.56966
215	16526.23979
216	16510.685
217	16497.73511
218	16476.82196
219	16467.75936
220	16451.25513
221	16443.11564
222	16422.12126
223	16413.10665
224	16405.94984
225	16392.16886
226	16375.01995
227	16361.39248
228	16346.70305
229	16336.24105
230	16321.01886
231	16313.00971
232	16300.30896
233	16289.44146
234	16275.47066
235	16266.56958
236	16253.76899
237	16247.21074
238	16228.27937
239	16220.56483
240	16214.37125
241	16199.17826
242	16191.65934
243	16183.43015
244	16177.27157
245	16169.94228
246	16152.38496
247	16137.38781
248	16131.19936
249	16118.07825
250	16101.18861
251	16091.74589
252	16084.5249
253	16069.01792
254	16057.94561
255	16047.49556
256	16025.89074
257	16020.47042
258	16009.4937
259	15999.7338
260	15993.69134
261	15983.33147
262	15970.34259
263	15955.11361
264	15946.8817
265	15938.44801
266	15928.29548
267	15916.43032
268	15907.91075
269	15901.21208
270	15895.94319
271	15886.35522
272	15870.64175
273	15865.4753
274	15857.14761
275	15843.82629
276	15830.03745
277	15818.83676
278	15808.2774
279	15800.23447
280	15793.87991
281	15783.19348
282	15770.85485
283	15764.70998
284	15759.0292
285	15749.45992
286	15735.67885
287	15720.60172
288	15714.61349
289	15702.22362
290	15693.89262
291	15683.473
292	15672.52011
293	15665.58751
294	15649.70807
295	15639.65429
296	15629.35056
297	15619.92714
298	15610.74788
299	15606.40055
300	15590.58957
301	15581.70265
302	15567.81969
303	15560.01981
304	15550.17486
305	15540.64639
306	15531.54561
307	15526.61314
308	15515.10737
309	15504.5972
310	15497.66436
311	15488.67284
312	15482.15488
313	15477.12995
314	15472.678
315	15463.24105
316	15451.40954
317	15443.21139
318	15439.25408
319	15434.81318
320	15424.90286
321	15418.56399
322	15409.63438
323	15402.44119
324	15394.58833
325	15385.52842
326	15378.76414
327	15368.79418
328	15355.39769
329	15347.93447
330	15338.03664
331	15331.90988
332	15323.4547
333	15317.71498
334	15310.51983
