iter	Passed	Remaining
0	228	228142
1	463	231283
2	695	231138
3	915	227860
4	1157	230274
5	1373	227506
6	1629	231168
7	1916	237632
8	2212	243641
9	2497	247205
10	2693	242175
11	2939	241989
12	3167	240451
13	3368	237227
14	3617	237524
15	3847	236646
16	4064	235024
17	4302	234718
18	4628	238994
19	4906	240398
20	5153	240273
21	5390	239628
22	5608	238242
23	5851	237975
24	6077	237017
25	6277	235158
26	6486	233762
27	6692	232338
28	6906	231249
29	7108	229855
30	7335	229306
31	7557	228628
32	7780	228006
33	8013	227668
34	8257	227669
35	8522	228206
36	8767	228192
37	9025	228476
38	9240	227702
39	9463	227117
40	9697	226833
41	9906	225965
42	10128	225408
43	10364	225187
44	10586	224661
45	10798	223954
46	11017	223398
47	11232	222768
48	11444	222121
49	11656	221468
50	11879	221057
51	12091	220440
52	12327	220269
53	12559	220015
54	12797	219878
55	13054	220064
56	13296	219982
57	13516	219520
58	13749	219298
59	13979	219004
60	14199	218574
61	14426	218265
62	14648	217862
63	14864	217388
64	15082	216961
65	15299	216510
66	15521	216136
67	15748	215850
68	15956	215302
69	16169	214828
70	16388	214433
71	16625	214288
72	16864	214158
73	17105	214055
74	17307	213453
75	17514	212939
76	17740	212657
77	17960	212297
78	18160	211718
79	18384	211421
80	18622	211279
81	18843	210959
82	19069	210678
83	19287	210328
84	19529	210232
85	19744	209843
86	19973	209602
87	20197	209314
88	20429	209116
89	20655	208845
90	20864	208416
91	21105	208304
92	21334	208067
93	21519	207406
94	21724	206959
95	21919	206411
96	22145	206154
97	22375	205945
98	22590	205597
99	22828	205455
100	23039	205076
101	23257	204760
102	23471	204403
103	23705	204232
104	23954	204184
105	24165	203814
106	24395	203598
107	24605	203226
108	24821	202897
109	25032	202539
110	25236	202119
111	25465	201905
112	25693	201680
113	25922	201469
114	26122	201031
115	26317	200561
116	26538	200286
117	26756	199994
118	26971	199678
119	27210	199546
120	27435	199307
121	27657	199041
122	27892	198876
123	28109	198576
124	28358	198508
125	28595	198352
126	28834	198207
127	29066	198014
128	29268	197620
129	29480	197290
130	29685	196920
131	29917	196730
132	30139	196470
133	30350	196145
134	30567	195857
135	30806	195714
136	31014	195367
137	31241	195147
138	31439	194745
139	31678	194598
140	31924	194488
141	32204	194588
142	32437	194401
143	32666	194181
144	32901	194007
145	33131	193798
146	33336	193442
147	33551	193148
148	33803	193066
149	34126	193384
150	34466	193789
151	34785	194064
152	35087	194242
153	35353	194215
154	35594	194046
155	35859	194008
156	36127	193983
157	36320	193553
158	36515	193141
159	36781	193105
160	36996	192796
161	37207	192468
162	37431	192211
163	37644	191897
164	37867	191631
165	38044	191139
166	38270	190892
167	38524	190787
168	38748	190530
169	38964	190239
170	39210	190092
171	39396	189652
172	39632	189455
173	39837	189111
174	40065	188881
175	40303	188691
176	40533	188470
177	40778	188316
178	41041	188239
179	41308	188184
180	41661	188513
181	41937	188486
182	42257	188656
183	42545	188680
184	42873	188875
185	43511	190423
186	44067	191589
187	44355	191577
188	44745	192002
189	45165	192547
190	45443	192479
191	45729	192443
192	46045	192530
193	46624	193707
194	47043	194203
195	47545	195035
196	47852	195052
197	48119	194909
198	48489	195176
199	48811	195246
200	49090	195142
201	49361	195003
202	49639	194891
203	49854	194531
204	50079	194209
205	50344	194045
206	50626	193944
207	50817	193497
208	51062	193255
209	51280	192910
210	51480	192504
211	51750	192356
212	52123	192588
213	52375	192368
214	52635	192179
215	52927	192107
216	53205	191982
217	53449	191732
218	53723	191589
219	53992	191426
220	54288	191359
221	54610	191381
222	54968	191527
223	55389	191885
224	55720	191927
225	55993	191763
226	56378	191985
227	56736	192108
228	57058	192105
229	57371	192069
230	57780	192350
231	58071	192236
232	58415	192295
233	58720	192220
234	59021	192132
235	59336	192087
236	59675	192118
237	59954	191955
238	60232	191785
239	60504	191597
240	60761	191361
241	60998	191062
242	61272	190878
243	61487	190509
244	61738	190256
245	61951	189882
246	62180	189563
247	62391	189188
248	62602	188811
249	62805	188415
250	62998	187992
251	63187	187555
252	63407	187215
253	63621	186857
254	63831	186488
255	64020	186059
256	64246	185738
257	64420	185272
258	64648	184959
259	64843	184555
260	65053	184193
261	65256	183814
262	65475	183481
263	65667	183073
264	65869	182695
265	66074	182324
266	66300	182015
267	66509	181661
268	66796	181518
269	66999	181145
270	67192	180751
271	67386	180358
272	67611	180049
273	67883	179867
274	68100	179538
275	68355	179309
276	68595	179042
277	68810	178708
278	69024	178374
279	69224	178006
280	69436	177667
281	69641	177314
282	69876	177035
283	70126	176796
284	70400	176619
285	70640	176353
286	70873	176073
287	71078	175721
288	71297	175407
289	71526	175115
290	71754	174824
291	71965	174491
292	72177	174162
293	72388	173830
294	72609	173523
295	72819	173192
296	73077	172974
297	73317	172713
298	73544	172424
299	73766	172122
300	74002	171854
301	74222	171548
302	74427	171206
303	74656	170925
304	74883	170637
305	75114	170357
306	75305	169988
307	75550	169744
308	75754	169405
309	75961	169076
310	76218	168857
311	76448	168579
312	76657	168255
313	76903	168012
314	77128	167724
315	77363	167457
316	77593	167180
317	77806	166867
